CD_ESCOLA,PARTICIPANTES,ENEM,CODMUN,CODDIST,LAB_INF,QD_ESP_C,QD_ESP_D,BIBLIO,REG_IN_CR,REG_IN_PE,REG_FU_8A,REG_MED_I,REG_MED_N,REG_MED_P,ENS_ESP,EJA,EJA_FUND,EJA_MED,AB1EM_11,AP9EF_12,AB1EM_12,AP9EF_13,AP3EM_13,AB1EM_13,AP9EF_14,AP3EM_14,AB1EM_14,INSE_AB,INSE_CL,EFABAND9ANOS1S,EFABAND9ANOS2S,EFABAND9ANOS3S,EFABAND9ANOS4S,EFABAND9ANOS5S,EFABAND9ANOS6S,EFABAND9ANOS7S,EFABAND9ANOS8S,EFABAND9ANOS9S,TOTALEF_ABAND,EFAPROV9ANOS1S,EFAPROV9ANOS2S,EFAPROV9ANOS3S,EFAPROV9ANOS4S,EFAPROV9ANOS5S,EFAPROV9ANOS6S,EFAPROV9ANOS7S,EFAPROV9ANOS8S,EFAPROV9ANOS9S,EFAPROV2S,TOTALEF_APROV,EFREPROV9ANOS1S,EFREPROV9ANOS2S,EFREPROV9ANOS3S,EFREPROV9ANOS4S,EFREPROV9ANOS5S,EFREPROV9ANOS6S,EFREPROV9ANOS7S,EFREPROV9ANOS8S,EFREPROV9ANOS9S,TOTALEF_REPROV,EMABAND1S,EMABAND2S,EMABAND3S,TOTAL_EM_ABAND,EMREPROV1S,EMREPROV2S,EMREPROV3S,TOTAL_EM_REPROV,EMAPROV1S,EMAPROV2S,EMAPROV3S,EMAPROV4S,TOTAL_EM_APROV,EPAPROV,EPREPROV,EPABAND,EJAIABAND,EJAIAPROV,EJAIREPROV,EJAIIABAND,EJAIIAPROV,EJAIIREPROV,CODMEC,ALE9F1A5_2012,ALE9F1A5_2013,ALE9F1A5_2014,ALE9F1A5_2015,ALE9F6A9_2012,ALE9F6A9_2013,ALE9F6A9_2014,ALE9F6A9_2015,ALEF1A4_2012,ALEF1A8_2012,ALEF1A8_2013,ALEF1A8_2014,ALEF5A8_2012,ALEM1S_2012,ALEM1S_2013,ALEM1S_2014,ALEM1S_2015,ALEM2S_2012,ALEM2S_2013,ALEM2S_2014,ALEM2S_2015,ALEM_2012,ALEM_2013,ALEM_2014,ALEM_2015,ALFUNDII_2012,ALFUNDII_2013,ALFUNDII_2014,ALFUNDII_2015,ALFUNDI_2012,ALFUND_2012,ALFUND_2013,ALFUND_2014,ALFUND_2015,CLE9F1A5_2012,CLE9F1A5_2013,CLE9F1A5_2014,CLE9F1A5_2015,CLE9F6A9_2012,CLE9F6A9_2013,CLE9F6A9_2014,CLE9F6A9_2015,CLEM1S_2012,CLEM1S_2013,CLEM1S_2014,CLEM1S_2015,CLEM2S_2012,CLEM2S_2013,CLEM2S_2014,CLEM2S_2015,CLEM_2012,CLEM_2013,CLEM_2014,CLEM_2015,CLFUNDII_2012,CLFUNDII_2013,CLFUNDII_2015,CLFUNDI_2012,CLFUND_2012,CLFUND_2013,CLFUND_2014,CLFUND_2015,TOTAL_ALUNOS_2012,TOTAL_ALUNOS_2013,TOTAL_ALUNOS_2014,TOTAL_ALUNOS_2015
35139804,40,2,3550308,355030874,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.1,92.5,0.0,100.0,100.0,0.0,91.7,100.0,0.0,57.2382,Alto,0,0,0,0,0,0,0,0,0,0,42,60,38,50,61,51,52,56,44,0,454,0,0,1,0,0,2,2,1,0,6,0,0,0,0,8,1,1,10,52,51,56,0,159,0,0,0,0,0,0,0,0,0,35139804,197.0,230.0,252.0,255.0,214.0,173.0,213.0,206.0,0.0,0.0,0.0,0.0,0.0,59.0,50.0,66.0,60.0,60.0,52.0,62.0,52.0,150.0,151.0,179.0,170.0,214.0,173.0,213.0,206.0,197.0,411.0,403.0,465.0,461.0,12.0,11.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,8.0,8.0,8.0,12.0,20.0,19.0,18.0,18.0,567.0,573.0,679.0,671.0
35140004,45,2,3550308,355030822,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1.2,90.7,0.0,94.1,98.7,0.0,93.0,95.5,0.0,61.9091,Muito Alto,0,0,0,0,0,0,0,0,0,0,45,49,37,34,36,57,47,55,64,0,424,0,0,0,1,1,0,0,1,4,7,0,0,0,0,5,1,0,6,83,67,74,0,224,0,0,0,0,0,0,0,0,0,35140004,248.0,238.0,224.0,213.0,252.0,235.0,229.0,233.0,0.0,0.0,0.0,0.0,0.0,99.0,110.0,95.0,53.0,78.0,93.0,82.0,29.0,250.0,281.0,266.0,117.0,252.0,235.0,229.0,233.0,248.0,500.0,473.0,453.0,446.0,11.0,13.0,14.0,12.0,10.0,9.0,10.0,9.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,1.0,15.0,14.0,13.0,4.0,10.0,9.0,9.0,11.0,21.0,22.0,24.0,21.0,869.0,881.0,852.0,818.0
35140326,19,2,3550308,355030846,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,86.5,100.0,0.0,96.9,100.0,0.0,58.8381,Alto,0,0,0,0,0,0,0,0,0,0,29,32,35,27,28,33,31,43,41,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,6,33,43,31,0,107,0,0,0,0,0,0,0,0,0,35140326,92.0,77.0,67.0,152.0,88.0,121.0,107.0,148.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,37.0,34.0,22.0,11.0,26.0,44.0,75.0,31.0,91.0,113.0,88.0,121.0,107.0,148.0,92.0,180.0,198.0,174.0,300.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,7.0,8.0,8.0,10.0,17.0,18.0,18.0,18.0,265.0,229.0,265.0,476.0
35140338,39,4,3550308,355030816,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,92.9,0.0,98.6,94.1,0.0,97.1,100.0,0.0,72.5178,Muito Alto,0,0,0,0,0,0,0,0,0,0,64,44,47,46,51,56,76,57,49,0,490,2,2,0,3,0,5,2,0,5,19,0,0,0,0,16,6,1,23,62,48,38,0,148,0,0,0,0,0,0,0,0,0,35140338,246.0,243.0,188.0,260.0,285.0,275.0,262.0,256.0,0.0,0.0,0.0,0.0,0.0,64.0,62.0,69.0,81.0,60.0,43.0,56.0,56.0,184.0,158.0,162.0,178.0,285.0,275.0,262.0,256.0,246.0,531.0,518.0,450.0,516.0,11.0,12.0,9.0,12.0,11.0,11.0,11.0,10.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,6.0,7.0,7.0,11.0,11.0,10.0,11.0,22.0,23.0,20.0,22.0,944.0,914.0,833.0,909.0
35140348,30,2,3550308,355030822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,95.0,0.0,100.0,100.0,0.0,100.0,97.6,0.0,66.6719,Muito Alto,0,0,0,0,0,0,0,0,0,0,54,53,48,47,51,51,53,50,35,0,442,0,4,0,0,0,0,0,0,1,5,0,0,0,0,3,2,0,5,47,50,47,0,144,0,0,0,0,0,0,0,0,0,35140348,218.0,233.0,252.0,260.0,203.0,178.0,177.0,190.0,0.0,0.0,0.0,0.0,0.0,52.0,49.0,63.0,55.0,55.0,39.0,49.0,54.0,166.0,137.0,154.0,157.0,203.0,178.0,177.0,190.0,218.0,421.0,411.0,429.0,450.0,11.0,12.0,14.0,15.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,11.0,19.0,20.0,22.0,23.0,587.0,548.0,583.0,607.0
35140351,81,3,3550308,355030806,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,68.1316,Muito Alto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31,35,47,0,137,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,98,102,91,0,291,0,0,0,0,0,0,0,0,0,35140351,0.0,0.0,0.0,0.0,124.0,116.0,118.0,141.0,0.0,0.0,0.0,0.0,0.0,72.0,77.0,93.0,100.0,73.0,78.0,88.0,104.0,227.0,224.0,250.0,298.0,124.0,116.0,118.0,141.0,0.0,124.0,116.0,118.0,141.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,351.0,340.0,368.0,439.0
35140363,18,2,3550308,355030854,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,100.0,100.0,0.0,94.4,100.0,0.0,73.1598,Muito Alto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,16,13,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,10,24,38,29,0,91,0,0,0,0,0,0,0,0,0,35140363,0.0,0.0,0.0,0.0,37.0,41.0,37.0,44.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,30.0,26.0,30.0,36.0,31.0,45.0,108.0,97.0,102.0,101.0,37.0,41.0,37.0,44.0,0.0,37.0,41.0,37.0,44.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,6.0,3.0,3.0,3.0,4.0,4.0,0.0,3.0,4.0,3.0,4.0,145.0,138.0,139.0,145.0
35140788,19,2,3550308,355030820,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,93.3,0.0,89.7,100.0,0.0,89.7,100.0,0.0,62.497,Muito Alto,0,0,0,0,0,0,0,0,0,0,26,27,31,28,19,24,36,26,28,0,245,0,0,0,0,0,2,0,0,1,3,0,0,0,0,3,0,0,3,34,20,20,0,74,0,0,0,0,0,0,0,0,0,35140788,130.0,137.0,122.0,128.0,116.0,114.0,123.0,118.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,23.0,35.0,19.0,33.0,22.0,20.0,78.0,78.0,79.0,75.0,116.0,114.0,123.0,118.0,130.0,246.0,251.0,245.0,246.0,7.0,8.0,9.0,9.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,11.0,12.0,14.0,13.0,370.0,394.0,388.0,377.0
35140880,45,2,3550308,355030892,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0.0,89.4,0.0,89.1,100.0,0.0,100.0,100.0,0.0,63.758,Muito Alto,0,0,0,0,0,0,0,0,0,0,125,104,94,85,54,91,87,66,83,0,789,0,0,0,0,1,1,1,0,1,4,0,0,0,0,6,3,0,9,93,53,69,0,215,44,0,0,0,0,0,0,0,0,35140880,432.0,440.0,449.0,462.0,193.0,279.0,358.0,327.0,0.0,185.0,93.0,0.0,185.0,107.0,95.0,71.0,100.0,74.0,95.0,73.0,56.0,273.0,259.0,237.0,227.0,378.0,372.0,358.0,327.0,432.0,810.0,812.0,807.0,789.0,20.0,21.0,22.0,23.0,8.0,11.0,12.0,12.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,8.0,8.0,7.0,7.0,14.0,14.0,12.0,20.0,34.0,35.0,34.0,35.0,1289.0,1309.0,1272.0,1197.0
35141240,75,4,3550308,355030815,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,100.0,100.0,0.0,98.7,100.0,0.0,73.5787,Muito Alto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,80,0,164,0,0,0,0,0,0,0,3,4,7,0,0,0,0,3,0,0,3,80,93,76,0,249,0,0,0,0,0,0,0,0,0,35141240,0.0,0.0,0.0,0.0,149.0,165.0,171.0,173.0,0.0,0.0,0.0,0.0,0.0,80.0,89.0,109.0,94.0,82.0,70.0,81.0,96.0,227.0,236.0,256.0,267.0,149.0,165.0,171.0,173.0,0.0,149.0,165.0,171.0,173.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,8.0,7.0,9.0,9.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,376.0,401.0,427.0,440.0
